,CMPD_CHEMBLID,CANONICAL_SMILES,STANDARD_TYPE,ACTIVITY_ID,RELATION,STANDARD_VALUE,STANDARD_UNITS,CONFIDENCE_SCORE,ASSAY_TYPE,ASSAY_CHEMBLID,assay_rank,smiles,ID,pIC50
142,CHEMBL557682,CCC(=O)Nc1ccc(Sc2nc(Nc3cc(C)[nH]n3)cc(n2)c4cccnc4)cc1,Ki,2658098,=,3.9,nM,8,B,CHEMBL1031294,0,CCC(=O)Nc1ccc(Sc2nc(Nc3cc(C)[nH]n3)cc(-c3cccnc3)n2)cc1,CHEMBL557682,8.10790539731
143,CHEMBL1835746,COc1ccccc1Nc2nc(N)n(n2)c3cc(NCCN(C)C)ncn3,Ki,6373553,=,2100,nM,8,B,CHEMBL1840410,0,COc1ccccc1Nc1nc(N)n(-c2cc(NCCN(C)C)ncn2)n1,CHEMBL1835746,5.3767507096
144,CHEMBL3594181,C[C@H]1CN(C)C(=O)[C@@H]1c2cc(Nc3ccnc(n3)N(C)C[C@@H]4CC[C@@H](N)CC4)n[nH]2,Ki,15651921,>,5400,nM,9,B,CHEMBL3595328,0,CC1CN(C)C(=O)C1c1cc(Nc2ccnc(N(C)CC3CCC(N)CC3)n2)n[nH]1,CHEMBL3594181,4.96657624451
145,CHEMBL253967,OC[C@H]1CCCN1CCCOc2ccc3c(Nc4cnn(CC(=O)Nc5cccc(F)c5)c4)nncc3c2,Ki,2081463,=,3000,nM,8,B,CHEMBL928667,0,O=C(Cn1cc(Nc2nncc3cc(OCCCN4CCCC4CO)ccc23)cn1)Nc1cccc(F)c1,CHEMBL253967,5.22184874962
146,CHEMBL3298288,CC1(C)CCc2c(C1)[nH]nc2C(=O)Nc3cnn(Cc4ccccc4)c3,Ki,15005982,=,480,nM,9,B,CHEMBL3380550,0,CC1(C)CCc2c(C(=O)Nc3cnn(Cc4ccccc4)c3)n[nH]c2C1,CHEMBL3298288,6.01772876696
147,CHEMBL3594177,CN(C[C@@H]1CC[C@@H](N)CC1)c2nccc(Nc3cc([nH]n3)[C@H]4CCN(C)C4=O)n2,Ki,15651917,=,3500,nM,9,B,CHEMBL3595328,0,CN1CCC(c2cc(Nc3ccnc(N(C)CC4CCC(N)CC4)n3)n[nH]2)C1=O,CHEMBL3594177,5.15490195999
148,CHEMBL1950043,CC(C)C[C@@H]1NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc4c[nH]c5ccccc45)NC(=O)[C@@H]6CCCN6C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@@H](N)CSSC[C@H](NC1=O)C(=O)NCC(=O)N)[C@@H](C)O,Ki,8042236,=,27200,nM,9,B,CHEMBL1952704,0,CC(C)CC1NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C2CCCN2C(=O)C(CCCNC(=N)N)NC(=O)C(C(C)O)NC(=O)C(N)CSSCC(C(=O)NCC(N)=O)NC1=O,CHEMBL1950043,4.2644011003
149,CHEMBL3298370,CN(C)C[C@@H](c1ccccc1)n2cc(NC(=O)c3n[nH]c4CC(C)(C)CCc34)cn2,Ki,15005970,=,210,nM,9,B,CHEMBL3380550,0,CN(C)CC(c1ccccc1)n1cc(NC(=O)c2n[nH]c3c2CCC(C)(C)C3)cn1,CHEMBL3298370,6.3767507096
150,CHEMBL1833992,COc1ccc(cc1Nc2nc(N)n(n2)c3ccccn3)N4CCOCC4,Ki,6373533,>,4000,nM,8,B,CHEMBL1840410,0,COc1ccc(N2CCOCC2)cc1Nc1nc(N)n(-c2ccccn2)n1,CHEMBL1833992,5.09691001301
151,CHEMBL561834,Cc1cc(Nc2nc(Sc3c(Cl)cccc3Cl)nc4ccccc24)n[nH]1,Ki,2658077,=,5,nM,8,B,CHEMBL1031294,0,Cc1cc(Nc2nc(Sc3c(Cl)cccc3Cl)nc3ccccc23)n[nH]1,CHEMBL561834,8
152,CHEMBL215152,CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1,Ki,1790572,=,1400,nM,9,B,CHEMBL856402,0,CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1,CHEMBL215152,5.55284196866
153,CHEMBL556460,Cc1cc(Nc2nc(Sc3ccc(NC(=O)OC(C)(C)C)cc3)nc4ccccc24)n[nH]1,Ki,2658084,=,9,nM,8,B,CHEMBL1031294,0,Cc1cc(Nc2nc(Sc3ccc(NC(=O)OC(C)(C)C)cc3)nc3ccccc23)n[nH]1,CHEMBL556460,7.7447274949
154,CHEMBL1778661,Cc1cc(Nc2cc(C)c(C#N)c(NCCCCCC(C)(C)O)n2)n[nH]1,Ki,6204419,=,2.3,nM,8,B,CHEMBL1781278,0,Cc1cc(Nc2cc(C)c(C#N)c(NCCCCCC(C)(C)O)n2)n[nH]1,CHEMBL1778661,8.33724216832
